scenario,n_runs,n_survived,survival_rate,avg_time_surv,sd_time_surv,avg_pulse_count,sd_pulse_count,avg_total_pulse_time,sd_total_pulse_time,avg_indiv_pulse_dur,sd_indiv_pulse_dur,avg_Fcrit_surv,sd_Fcrit_surv,avg_Fcrit_breach,sd_Fcrit_breach,avg_init_Fcrit,sd_init_Fcrit,phi_1,k_g,heuristic,smct,norm_gain_thresh
SMCTSweep_Baseline_HeurOFF,50,47,0.94,498.28,6.855771291401136,22.2,1.6492422502470643,327.76,24.064546536346786,14.763963963963963,1.4563184975371877,162.9552152221874,0.19080337587921448,163.91107642735605,0.051773910901014214,181.01933598375618,0.0,0.3,0.02,OFF,,0.1
SMCTSweep_x0.05_AbsGainHeurON,50,47,0.94,498.28,6.855771291401136,22.2,1.6492422502470643,327.76,24.064546536346786,14.763963963963963,1.4563184975371877,162.9552152221874,0.19080337587921448,163.91107642735605,0.051773910901014214,181.01933598375618,0.0,0.3,0.02,AbsGain,0.4,0.1
SMCTSweep_x0.15_AbsGainHeurON,50,47,0.94,498.28,6.855771291401136,22.2,1.6492422502470643,327.76,24.064546536346786,14.763963963963963,1.4563184975371877,162.9554279881449,0.19070465141564505,163.91107642735605,0.051773910901014214,181.01933598375618,0.0,0.3,0.02,AbsGain,1.2,0.1
SMCTSweep_x0.25_AbsGainHeurON,50,47,0.94,498.28,6.855771291401136,22.2,1.6492422502470643,327.76,24.064546536346786,14.763963963963963,1.4563184975371877,162.9598960732514,0.19025803818208048,163.91407642735615,0.05227554337494676,181.01933598375618,0.0,0.3,0.02,AbsGain,2.0,0.1
SMCTSweep_x0.35_AbsGainHeurON,50,47,0.94,498.28,6.855771291401136,22.2,1.6492422502470643,327.76,24.064546536346786,14.763963963963963,1.4563184975371877,162.96287479665577,0.18978268753122027,163.91574309402287,0.05212723926767428,181.01933598375618,0.0,0.3,0.02,AbsGain,2.8,0.1
SMCTSweep_x0.45_AbsGainHeurON,50,46,0.92,498.04,6.999885713352755,22.2,1.6492422502470643,327.54,23.845511107963276,14.754054054054054,1.5114746563266614,162.97095995945932,0.18923436018739254,163.734518051809,0.3234562081494372,181.01933598375618,0.0,0.3,0.02,AbsGain,3.6,0.1
SMCTSweep_x0.50_AbsGainHeurON,50,17,0.34,402.28,85.96697970732717,16.6,4.870318264754368,238.02,76.198028845896,14.33855421686747,2.8664797824938644,163.03723673395714,0.18027767282383003,168.55649528460035,2.314574525608465,181.01933598375618,0.0,0.3,0.02,AbsGain,4.0,0.1
SMCTSweep_x0.55_AbsGainHeurON,50,0,0.0,165.28,25.82017815585322,2.0,0.0,16.0,0.0,8.0,7.0,,,175.7417314492541,0.8004255228316025,181.01933598375618,0.0,0.3,0.02,AbsGain,4.4,0.1
SMCTSweep_x0.60_AbsGainHeurON,50,0,0.0,165.28,25.82017815585322,2.0,0.0,16.0,0.0,8.0,7.0,,,175.74223144925415,0.8004255228316025,181.01933598375618,0.0,0.3,0.02,AbsGain,4.8,0.1
SMCTSweep_x0.65_AbsGainHeurON,50,0,0.0,164.32,25.78017843227622,1.0,0.0,15.0,0.0,15.0,0.0,,,175.7798192326605,0.7992051801635451,181.01933598375618,0.0,0.3,0.02,AbsGain,5.2,0.1
