#{"t_start": 1748360455.3771858, "env_id": "None"}
r,l,t
110.494914,285,1.247045
-84.650206,32,1.261668
127.764694,154,1.320822
-70.152831,49,1.345856
131.319692,137,1.399151
-75.949768,86,1.434292
-84.550457,18,1.444373
126.922759,164,1.505398
117.857062,245,1.588224
134.42474,122,1.635833
126.062488,158,1.696185
139.492232,62,1.728568
-79.956001,105,1.770057
133.68202,114,1.818321
126.92642,162,1.881358
116.359908,239,2.64483
-86.052401,21,2.655847
125.96885,148,2.713141
139.831361,83,2.749701
116.504513,237,2.835424
118.957183,224,2.914996
-83.902079,27,2.933904
-75.35516,89,2.969809
-74.499534,69,2.999051
-85.95469,38,3.015302
-70.448968,48,3.038188
-74.302885,88,3.074421
-83.603842,21,3.087048
139.77942,76,3.122592
-86.151493,25,3.137195
-86.15325,38,3.154363
129.176657,150,3.213953
-84.35463,32,3.228935
-88.20469,41,3.249652
137.236692,78,3.28632
132.919624,123,3.334785
129.17497,148,3.393532
-70.901545,60,3.42122
-95.516914,119,4.115165
136.874947,94,4.156969
128.329912,134,4.209451
136.775031,99,4.252431
139.772531,98,4.295645
119.604256,224,4.377649
138.181349,74,4.412486
-81.058599,110,4.455496
126.871523,161,4.516196
111.757719,243,4.603463
-98.609976,107,4.641253
111.147756,265,4.734571
127.065452,177,4.802234
-75.75413,91,4.83743
137.529506,94,4.876627
119.403766,224,5.616009
133.872995,106,5.66185
130.769686,138,5.718038
-83.349272,15,5.727003
142.032544,63,5.758812
130.723238,150,5.817413
125.318656,166,5.881541
136.677545,106,5.925899
-85.499797,20,5.936502
126.911443,180,6.003198
132.916494,136,6.055747
130.076854,109,6.099499
-90.726927,202,6.172629
139.022654,96,6.215585
142.687387,56,6.2457
-85.098856,30,6.259871
135.270431,133,6.314196
138.375728,84,6.353986
-83.602483,20,6.364479
-72.046809,46,6.388077
135.933543,101,7.114619
133.073868,123,7.165022
-68.749953,49,7.189476
139.679711,65,7.222888
137.328992,93,7.263943
-72.310296,76,7.296916
138.171002,96,7.338824
139.774471,87,7.378012
142.686215,57,7.407571
138.132923,100,7.450489
138.92485,89,7.491343
136.678464,88,7.530529
-83.603264,25,7.543572
140.625142,88,7.584452
136.774002,113,7.633473
135.177029,96,7.676556
141.934218,68,7.711383
-83.503203,21,7.722851
142.124166,89,7.768723
140.426251,86,7.806979
-73.808902,79,7.83991
139.736647,70,7.874779
138.176827,83,7.913778
142.12768,70,7.947634
143.434566,61,7.979544
136.023897,94,8.0226
139.875533,85,8.719559
138.08554,73,8.756265
135.275112,102,8.804134
143.628265,65,8.836869
136.682264,87,8.875756
135.27892,103,8.920115
139.125923,84,8.956683
145.878851,56,8.984748
-68.856965,61,9.012809
144.282648,56,9.041523
136.773672,102,9.084922
142.031241,65,9.117661
-86.051042,20,9.128688
139.777656,92,9.169825
139.028048,86,9.209586
138.927555,76,9.244245
142.877484,68,9.277335
-75.706813,79,9.310196
-85.103068,25,9.32275
140.429461,86,9.360139
138.277092,90,9.40316
141.378656,64,9.432642
133.825488,113,9.478656
142.877289,71,9.510648
139.032035,80,9.546406
139.78452,87,9.586313
138.373581,97,10.28171
145.025636,62,10.313886
144.378265,64,10.345838
141.882905,66,10.378936
139.876118,79,10.416007
142.780625,71,10.449753
-82.753984,23,10.461945
143.535178,52,10.490257
141.9881,74,10.524508
139.780866,88,10.566282
142.878851,61,10.597912
145.129827,52,10.627934
143.531667,72,10.662224
142.032146,62,10.693864
142.02909,70,10.72678
141.178532,70,10.762405
144.279379,60,10.792521
-83.603842,21,10.804219
140.430365,58,10.834438
142.128656,64,10.865299
142.778994,65,10.896535
139.876899,77,10.931348
141.18,63,10.962896
143.429211,55,10.994452
142.876899,72,11.030163
144.380022,53,11.058776
142.684667,60,11.089985
141.926791,73,11.125547
139.028862,79,11.162388
-67.454873,44,11.185708
145.033031,68,11.218552
143.627289,70,11.253583
137.526708,92,12.251725
139.126899,80,12.348792
144.379046,59,12.439824
139.125533,87,12.539356
143.488508,55,12.632443
141.377094,72,12.723835
144.277645,62,12.807465
143.62807,65,12.902756
144.281258,55,12.977507
138.377094,78,13.076809
142.781266,57,14.517168
143.528429,63,14.593547
141.83774,70,14.683199
143.485959,61,14.756371
141.282631,73,14.816234
141.184868,59,14.895768
143.62846,64,14.976742
144.28195,59,15.048342
142.12807,67,15.128538
142.831589,70,15.208839
145.129241,55,15.279416
145.780553,52,15.349606
144.379241,58,15.422686
